parent_domain,mean_ip,ip_size,industry,severity,%_patched,mean_time_to_patch,open_cves,closed_cves,total_cves
012global.com,47,medium,TELECOMMUNICATIONS,medium,100,119.33333333333333,0,3,3
100metros.pt,220,medium,UNKNOWN,high,0,null,56,0,56
100metros.pt,220,medium,UNKNOWN,medium,0,null,390,0,390
100metros.pt,220,medium,UNKNOWN,low,0,null,48,0,48
108agency.cz,8,small,INFORMATION_SERVICES,high,100,354.3333333333333,0,9,9
108agency.cz,8,small,INFORMATION_SERVICES,medium,100,293.44827586206895,0,29,29
108agency.cz,8,small,INFORMATION_SERVICES,low,100,133,0,1,1
1101.mx,21,small,TECHNOLOGY,medium,21.428571428571427,259.5,44,12,56
1101.mx,21,small,TECHNOLOGY,high,21.428571428571427,119,11,3,14
1101.mx,21,small,TECHNOLOGY,low,50,51,3,3,6
1212retailcobranding.be,3,small,INFORMATION_SERVICES,high,0,null,2,0,2
1212retailcobranding.be,3,small,INFORMATION_SERVICES,low,0,null,6,0,6
1212retailcobranding.be,3,small,INFORMATION_SERVICES,medium,0,null,36,0,36
13or-du-hiphop.fr,1,small,ENTERTAINMENT,low,0,null,1,0,1
13or-du-hiphop.fr,1,small,ENTERTAINMENT,medium,0,null,12,0,12
16bugs.com,5,small,UNKNOWN,low,0,null,3,0,3
16bugs.com,5,small,UNKNOWN,high,0,null,1,0,1
16bugs.com,5,small,UNKNOWN,medium,0,null,4,0,4
1800attorney.com,1,small,null,high,0,null,14,0,14
1800attorney.com,1,small,null,medium,0,null,63,0,63
1800attorney.com,1,small,null,low,0,null,11,0,11
189.com,1464,large,TECHNOLOGY,high,98.23008849557522,12.675675675675675,2,111,113
189.com,1464,large,TECHNOLOGY,low,93.47826086956522,24.162790697674417,3,43,46
189.com,1464,large,TECHNOLOGY,medium,98.2905982905983,28.39710144927536,6,345,351
1key.nl,1109,large,UNKNOWN,medium,0,null,245,0,245
1key.nl,1109,large,UNKNOWN,low,0,null,32,0,32
1key.nl,1109,large,UNKNOWN,high,0,null,39,0,39
1st-vision.de,9,small,UNKNOWN,medium,0,null,6,0,6
1st-vision.de,9,small,UNKNOWN,high,0,null,2,0,2
1st-vision.de,9,small,UNKNOWN,low,0,null,1,0,1
1stfiresolutions.co.uk,2,small,UNKNOWN,low,0,null,1,0,1
1stfiresolutions.co.uk,2,small,UNKNOWN,medium,0,null,6,0,6
211toronto.ca,3,small,HOSPITALITY,high,50,7,1,1,2
220-volt.ru,94,medium,RETAIL,high,14.285714285714286,52.2,30,5,35
220-volt.ru,94,medium,RETAIL,medium,5.714285714285714,70.75,66,4,70
2m-entsorgung.de,3,small,UNKNOWN,medium,0,null,10,0,10
2m-entsorgung.de,3,small,UNKNOWN,low,0,null,1,0,1
2x4.org,11,small,NON_PROFIT,low,0,null,2,0,2
2x4.org,11,small,NON_PROFIT,high,0,null,3,0,3
2x4.org,11,small,NON_PROFIT,medium,0,null,3,0,3
31415.com,4,small,TECHNOLOGY,low,97.29729729729729,34.47222222222222,3,108,111
31415.com,4,small,TECHNOLOGY,high,88.13559322033899,24.75,7,52,59
31415.com,4,small,TECHNOLOGY,medium,92.6829268292683,29.81578947368421,36,456,492
360doc.com,252,medium,TECHNOLOGY,high,50,25.4,35,35,70
360doc.com,252,medium,TECHNOLOGY,medium,50,26.532258064516128,62,62,124
360kid.com,9,small,ENTERTAINMENT,medium,0,null,2,0,2
360kid.com,9,small,ENTERTAINMENT,high,0,null,2,0,2
365world.com,35,medium,NON_PROFIT,medium,22.22222222222222,135,7,2,9
365world.com,35,medium,NON_PROFIT,low,0,null,1,0,1
3ants.com,4,small,TECHNOLOGY,high,100,172,0,3,3
